Resumo da viagem
Campo;Valor
Viagem ID;bbf3d450-9503-4a3d-81ce-0df534e07ff4
Empresa ID;0e65f112-97f5-48ec-b16a-22661db1cc71
Empresa;Expresso Teste Transportes LTDA
Nome comercial;Expresso Teste
Origem;São Paulo
UF origem;SP
Terminal origem;Terminal Rodoviário Tietê
Destino;Rio de Janeiro
UF destino;RJ
Terminal destino;Rodoviária Novo Rio
Partida;2026-06-25 08:00:00
Chegada;2026-06-25 14:00:00
Moeda;BRL
Total de reservas;2
Reservas pagas;1
Reservas pendentes;0
Reservas canceladas;0
Bilhetes emitidos;1
Bilhetes válidos;0
Bilhetes usados;1
Bilhetes cancelados;0
Receita total;89.90
Ticket médio;89.90
Gerado em;2026-06-19 13:51:43

Bilhetes da viagem
Bilhete ID;Código do bilhete;Status do bilhete;Reserva ID;Código da reserva;Status da reserva;Passageiro;Documento;WhatsApp;Assento;Valor;Moeda;Emitido em;Usado em;Cancelado em
45d71010-aa3e-4a70-a9b4-067a322671e9;VRTK-VR1781782312032-1781805286245;USED;82cebf67-d715-4ceb-8aa0-5af6934451d4;VR1781782312032;TICKET_ISSUED;João da Silva;12345678909;+55 11 98888-7777;13;89.90;BRL;2026-06-18 14:54:46;2026-06-18 15:13:21;
